text,label
"Şimdi kayıt ol, anında 50 bonus kazan!",1
"Merhaba Ayşe, nasılsın?",0
Sadece bugün: 70% indirim fırsatı burada!,1
"Bugün çok yoruldum, sen nasılsın?",0
GetRich indir ve para kazanmaya başla!,1
"Bugün çok yoruldum, sen nasılsın?",0
Earnify indir ve para kazanmaya başla!,1
Toplantı Salı günü saat 10:00'da olacak.,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
sabah gibi kahve içmeye gidelim mi?,0
Earnify indir ve para kazanmaya başla!,1
"Merhaba Ahmet, nasılsın?",0
"Yatırım yap, günlük 2% kazanç garantisi!",1
Toplantı Cuma günü saat 18:30'da olacak.,0
"Yatırım yap, günlük 2% kazanç garantisi!",1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Oppenheimer?,0
"Bedava tatil paketi kampanyası başladı, hemen katıl!",1
Hadi dışarı çıkalım mı?,0
Özel teklif: fitness üyeliği yalnızca 19.99 TL!,1
"Merhaba Ayşe, nasılsın?",0
Kredi kartına ön onay! Tıkla ve al!,1
Seninle konuşmak çok iyi geldi.,0
Earnify indir ve para kazanmaya başla!,1
Yarın Kadıköy'de buluşalım mı?,0
Sadece bugün: 30% indirim fırsatı burada!,1
Toplantı Pazartesi günü saat 18:30'da olacak.,0
Kazanın! 200 TL hediye için hemen tıkla!,1
Yeni filmi izledin mi Interstellar?,0
"Bedava laptop kampanyası başladı, hemen katıl!",1
Akşam yemeği için BigChefs'a gidelim mi?,0
GetRich indir ve para kazanmaya başla!,1
Akşam yemeği için BigChefs'a gidelim mi?,0
Kazanın! 100 TL hediye için hemen tıkla!,1
"Bugün çok yoruldum, sen nasılsın?",0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Oppenheimer?,0
Sadece bugün: 50% indirim fırsatı burada!,1
öğlen gibi kahve içmeye gidelim mi?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
akşam gibi kahve içmeye gidelim mi?,0
Kazanın! 200 TL hediye için hemen tıkla!,1
Toplantı Çarşamba günü saat 14:00'da olacak.,0
Kredi kartına ön onay! Tıkla ve al!,1
Toplantı Çarşamba günü saat 18:30'da olacak.,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
Yeni filmi izledin mi Interstellar?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
Tatilde İstanbul'e gitmeyi düşünüyorum.,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
"Bugün çok yoruldum, sen nasılsın?",0
GetRich indir ve para kazanmaya başla!,1
öğlen gibi kahve içmeye gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Merhaba Deniz, nasılsın?",0
Özel teklif: internet paketi yalnızca 49.99 TL!,1
Tatilde Paris'e gitmeyi düşünüyorum.,0
CashApp indir ve para kazanmaya başla!,1
akşam gibi kahve içmeye gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
akşam gibi kahve içmeye gidelim mi?,0
Sadece bugün: 50% indirim fırsatı burada!,1
Hadi dışarı çıkalım mı?,0
"Şimdi kayıt ol, anında 150 bonus kazan!",1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
"Merhaba Ahmet, nasılsın?",0
"Yatırım yap, günlük 2% kazanç garantisi!",1
"Bugün çok yoruldum, sen nasılsın?",0
Earnify indir ve para kazanmaya başla!,1
sabah gibi kahve içmeye gidelim mi?,0
Sadece bugün: 20% indirim fırsatı burada!,1
Tatilde İstanbul'e gitmeyi düşünüyorum.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Bugün çok yoruldum, sen nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Tatilde Berlin'e gitmeyi düşünüyorum.,0
Kredi kartına ön onay! Tıkla ve al!,1
öğlen gibi kahve içmeye gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
"Yatırım yap, günlük 2% kazanç garantisi!",1
sabah gibi kahve içmeye gidelim mi?,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
"Bugün çok yoruldum, sen nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
sabah gibi kahve içmeye gidelim mi?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Oppenheimer?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
"Merhaba Ahmet, nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
sabah gibi kahve içmeye gidelim mi?,0
"100 ücretsiz spin seni bekliyor, kaydol!",1
Toplantı Cuma günü saat 10:00'da olacak.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Hadi dışarı çıkalım mı?,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
Kazanın! 500 TL hediye için hemen tıkla!,1
"Bugün çok yoruldum, sen nasılsın?",0
"Yatırım yap, günlük 10% kazanç garantisi!",1
Seninle konuşmak çok iyi geldi.,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Seninle konuşmak çok iyi geldi.,0
"200 ücretsiz spin seni bekliyor, kaydol!",1
Yeni filmi izledin mi Barbie?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Merhaba Çağrı, nasılsın?",0
GetRich indir ve para kazanmaya başla!,1
Hadi dışarı çıkalım mı?,0
Sadece bugün: 50% indirim fırsatı burada!,1
"Merhaba Çağrı, nasılsın?",0
Kazanın! 1000 TL hediye için hemen tıkla!,1
Akşam yemeği için BigChefs'a gidelim mi?,0
"Bedava tatil paketi kampanyası başladı, hemen katıl!",1
akşam gibi kahve içmeye gidelim mi?,0
Özel teklif: fitness üyeliği yalnızca 49.99 TL!,1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Seninle konuşmak çok iyi geldi.,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Hadi dışarı çıkalım mı?,0
Kredi kartına ön onay! Tıkla ve al!,1
Seninle konuşmak çok iyi geldi.,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Yarın Ankara'de buluşalım mı?,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Toplantı Perşembe günü saat 20:00'da olacak.,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
sabah gibi kahve içmeye gidelim mi?,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Tatilde Roma'e gitmeyi düşünüyorum.,0
"200 ücretsiz spin seni bekliyor, kaydol!",1
"Bugün çok yoruldum, sen nasılsın?",0
Earnify indir ve para kazanmaya başla!,1
"Merhaba Selin, nasılsın?",0
Sadece bugün: 70% indirim fırsatı burada!,1
Tatilde İstanbul'e gitmeyi düşünüyorum.,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Tatilde Berlin'e gitmeyi düşünüyorum.,0
GetRich indir ve para kazanmaya başla!,1
Yeni filmi izledin mi Dune?,0
"Şimdi kayıt ol, anında 150 bonus kazan!",1
"Merhaba Çağrı, nasılsın?",0
CashApp indir ve para kazanmaya başla!,1
Toplantı Perşembe günü saat 18:30'da olacak.,0
"100 ücretsiz spin seni bekliyor, kaydol!",1
Toplantı Pazartesi günü saat 18:30'da olacak.,0
Kazanın! 100 TL hediye için hemen tıkla!,1
Yarın Kadıköy'de buluşalım mı?,0
Kazanın! 200 TL hediye için hemen tıkla!,1
Hadi dışarı çıkalım mı?,0
GetRich indir ve para kazanmaya başla!,1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
"200 ücretsiz spin seni bekliyor, kaydol!",1
Tatilde Roma'e gitmeyi düşünüyorum.,0
Kredi kartına ön onay! Tıkla ve al!,1
Hadi dışarı çıkalım mı?,0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Oppenheimer?,0
GetRich indir ve para kazanmaya başla!,1
Toplantı Çarşamba günü saat 10:00'da olacak.,0
"Bedava iPhone kampanyası başladı, hemen katıl!",1
Hadi dışarı çıkalım mı?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Toplantı Salı günü saat 10:00'da olacak.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Tatilde Roma'e gitmeyi düşünüyorum.,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Yarın Beşiktaş'de buluşalım mı?,0
Özel teklif: internet paketi yalnızca 49.99 TL!,1
"Merhaba Elif, nasılsın?",0
"Bedava iPhone kampanyası başladı, hemen katıl!",1
"Merhaba Çağrı, nasılsın?",0
Kredi kartına ön onay! Tıkla ve al!,1
sabah gibi kahve içmeye gidelim mi?,0
CashApp indir ve para kazanmaya başla!,1
Seninle konuşmak çok iyi geldi.,0
Kredi kartına ön onay! Tıkla ve al!,1
Yarın Taksim'de buluşalım mı?,0
"Şimdi kayıt ol, anında 200 bonus kazan!",1
öğlen gibi kahve içmeye gidelim mi?,0
"Yatırım yap, günlük 15% kazanç garantisi!",1
Seninle konuşmak çok iyi geldi.,0
"Şimdi kayıt ol, anında 150 bonus kazan!",1
Seninle konuşmak çok iyi geldi.,0
Sadece bugün: 20% indirim fırsatı burada!,1
Yeni filmi izledin mi Interstellar?,0
Sadece bugün: 50% indirim fırsatı burada!,1
Tatilde İstanbul'e gitmeyi düşünüyorum.,0
"100 ücretsiz spin seni bekliyor, kaydol!",1
"Merhaba Ayşe, nasılsın?",0
Kazanın! 200 TL hediye için hemen tıkla!,1
Toplantı Cuma günü saat 14:00'da olacak.,0
GetRich indir ve para kazanmaya başla!,1
Tatilde Paris'e gitmeyi düşünüyorum.,0
Kazanın! 500 TL hediye için hemen tıkla!,1
"Bugün çok yoruldum, sen nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Akşam yemeği için BigChefs'a gidelim mi?,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
Akşam yemeği için BigChefs'a gidelim mi?,0
"Şimdi kayıt ol, anında 200 bonus kazan!",1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Merhaba Deniz, nasılsın?",0
Kazanın! 1000 TL hediye için hemen tıkla!,1
"Merhaba Ayşe, nasılsın?",0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Hadi dışarı çıkalım mı?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Seninle konuşmak çok iyi geldi.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Yarın Beşiktaş'de buluşalım mı?,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
Toplantı Pazartesi günü saat 18:30'da olacak.,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Yeni filmi izledin mi Oppenheimer?,0
"Şimdi kayıt ol, anında 50 bonus kazan!",1
"Merhaba Ayşe, nasılsın?",0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Barbie?,0
Sadece bugün: 70% indirim fırsatı burada!,1
Toplantı Salı günü saat 18:30'da olacak.,0
"100 ücretsiz spin seni bekliyor, kaydol!",1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
Özel teklif: fitness üyeliği yalnızca 9.99 TL!,1
Seninle konuşmak çok iyi geldi.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Merhaba Selin, nasılsın?",0
CashApp indir ve para kazanmaya başla!,1
Yeni filmi izledin mi Dune?,0
Özel teklif: VPN yalnızca 49.99 TL!,1
öğlen gibi kahve içmeye gidelim mi?,0
Earnify indir ve para kazanmaya başla!,1
"Merhaba Mehmet, nasılsın?",0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Tatilde Londra'e gitmeyi düşünüyorum.,0
Kazanın! 500 TL hediye için hemen tıkla!,1
Toplantı Perşembe günü saat 20:00'da olacak.,0
Özel teklif: internet paketi yalnızca 9.99 TL!,1
"Bugün çok yoruldum, sen nasılsın?",0
"Şimdi kayıt ol, anında 50 bonus kazan!",1
öğlen gibi kahve içmeye gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
akşam gibi kahve içmeye gidelim mi?,0
Sadece bugün: 30% indirim fırsatı burada!,1
Yarın Taksim'de buluşalım mı?,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Toplantı Cuma günü saat 14:00'da olacak.,0
GetRich indir ve para kazanmaya başla!,1
öğlen gibi kahve içmeye gidelim mi?,0
Özel teklif: internet paketi yalnızca 9.99 TL!,1
Seninle konuşmak çok iyi geldi.,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
akşam gibi kahve içmeye gidelim mi?,0
Özel teklif: internet paketi yalnızca 99.99 TL!,1
Tatilde Roma'e gitmeyi düşünüyorum.,0
Kazanın! 100 TL hediye için hemen tıkla!,1
Yeni filmi izledin mi Barbie?,0
"Şimdi kayıt ol, anında 50 bonus kazan!",1
öğlen gibi kahve içmeye gidelim mi?,0
Sadece bugün: 30% indirim fırsatı burada!,1
"Bugün çok yoruldum, sen nasılsın?",0
Kredi kartına ön onay! Tıkla ve al!,1
Yeni filmi izledin mi Dune?,0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
"Bugün çok yoruldum, sen nasılsın?",0
Özel teklif: VPN yalnızca 99.99 TL!,1
Toplantı Cuma günü saat 14:00'da olacak.,0
Kazanın! 200 TL hediye için hemen tıkla!,1
"Bugün çok yoruldum, sen nasılsın?",0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
"Merhaba Ahmet, nasılsın?",0
Kazanın! 1000 TL hediye için hemen tıkla!,1
"Merhaba Selin, nasılsın?",0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Hadi dışarı çıkalım mı?,0
Kredi kartına ön onay! Tıkla ve al!,1
Toplantı Salı günü saat 20:00'da olacak.,0
Kazanın! 200 TL hediye için hemen tıkla!,1
Seninle konuşmak çok iyi geldi.,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
"Merhaba Mehmet, nasılsın?",0
Özel teklif: fitness üyeliği yalnızca 19.99 TL!,1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Yarın İzmir'de buluşalım mı?,0
"Bedava laptop kampanyası başladı, hemen katıl!",1
Tatilde Roma'e gitmeyi düşünüyorum.,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
Seninle konuşmak çok iyi geldi.,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
Yeni filmi izledin mi Dune?,0
"Şimdi kayıt ol, anında 50 bonus kazan!",1
Akşam yemeği için Simit Sarayı'a gidelim mi?,0
"100 ücretsiz spin seni bekliyor, kaydol!",1
akşam gibi kahve içmeye gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Hadi dışarı çıkalım mı?,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
öğlen gibi kahve içmeye gidelim mi?,0
GetRich indir ve para kazanmaya başla!,1
Yeni filmi izledin mi Interstellar?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Merhaba Ayşe, nasılsın?",0
"Bedava PlayStation kampanyası başladı, hemen katıl!",1
Toplantı Çarşamba günü saat 10:00'da olacak.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Akşam yemeği için BigChefs'a gidelim mi?,0
"Yatırım yap, günlük 15% kazanç garantisi!",1
"Merhaba Çağrı, nasılsın?",0
"Bedava laptop kampanyası başladı, hemen katıl!",1
Akşam yemeği için BigChefs'a gidelim mi?,0
Kazanın! 1000 TL hediye için hemen tıkla!,1
Yarın Kadıköy'de buluşalım mı?,0
Kredi kartına ön onay! Tıkla ve al!,1
Toplantı Pazartesi günü saat 18:30'da olacak.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Seninle konuşmak çok iyi geldi.,0
Özel teklif: fitness üyeliği yalnızca 9.99 TL!,1
Yarın Kadıköy'de buluşalım mı?,0
Kazanın! 500 TL hediye için hemen tıkla!,1
Hadi dışarı çıkalım mı?,0
"Yatırım yap, günlük 10% kazanç garantisi!",1
Yeni filmi izledin mi Dune?,0
Kredi kartına ön onay! Tıkla ve al!,1
öğlen gibi kahve içmeye gidelim mi?,0
"Şimdi kayıt ol, anında 150 bonus kazan!",1
Seninle konuşmak çok iyi geldi.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Bugün çok yoruldum, sen nasılsın?",0
Özel teklif: fitness üyeliği yalnızca 9.99 TL!,1
"Merhaba Selin, nasılsın?",0
"100 ücretsiz spin seni bekliyor, kaydol!",1
"Bugün çok yoruldum, sen nasılsın?",0
Kazanın! 1000 TL hediye için hemen tıkla!,1
Hadi dışarı çıkalım mı?,0
Özel teklif: internet paketi yalnızca 99.99 TL!,1
Yeni filmi izledin mi Oppenheimer?,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
Seninle konuşmak çok iyi geldi.,0
Kazanın! 100 TL hediye için hemen tıkla!,1
Hadi dışarı çıkalım mı?,0
"200 ücretsiz spin seni bekliyor, kaydol!",1
"Merhaba Mehmet, nasılsın?",0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Yeni filmi izledin mi Dune?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
"Şimdi kayıt ol, anında 100 bonus kazan!",1
sabah gibi kahve içmeye gidelim mi?,0
"Yatırım yap, günlük 2% kazanç garantisi!",1
Seninle konuşmak çok iyi geldi.,0
Kredi kartına ön onay! Tıkla ve al!,1
Akşam yemeği için Simit Sarayı'a gidelim mi?,0
"Yatırım yap, günlük 15% kazanç garantisi!",1
Hadi dışarı çıkalım mı?,0
"Şimdi kayıt ol, anında 200 bonus kazan!",1
Tatilde Roma'e gitmeyi düşünüyorum.,0
Kazanın! 1000 TL hediye için hemen tıkla!,1
Yeni filmi izledin mi Interstellar?,0
"Şimdi kayıt ol, anında 200 bonus kazan!",1
Seninle konuşmak çok iyi geldi.,0
"500 ücretsiz spin seni bekliyor, kaydol!",1
akşam gibi kahve içmeye gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Toplantı Pazartesi günü saat 20:00'da olacak.,0
Kazanın! 500 TL hediye için hemen tıkla!,1
Hadi dışarı çıkalım mı?,0
"Şimdi kayıt ol, anında 50 bonus kazan!",1
Hadi dışarı çıkalım mı?,0
Kazanın! 500 TL hediye için hemen tıkla!,1
"Merhaba Ayşe, nasılsın?",0
Earnify indir ve para kazanmaya başla!,1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Akşam yemeği için Nusr-Et'a gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Seninle konuşmak çok iyi geldi.,0
Sadece bugün: 30% indirim fırsatı burada!,1
"Merhaba Ayşe, nasılsın?",0
"Bedava laptop kampanyası başladı, hemen katıl!",1
Yeni filmi izledin mi Oppenheimer?,0
"Yatırım yap, günlük 15% kazanç garantisi!",1
sabah gibi kahve içmeye gidelim mi?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Yeni filmi izledin mi Interstellar?,0
Kredi kartına ön onay! Tıkla ve al!,1
Seninle konuşmak çok iyi geldi.,0
"200 ücretsiz spin seni bekliyor, kaydol!",1
Toplantı Pazartesi günü saat 20:00'da olacak.,0
Kredi kartına ön onay! Tıkla ve al!,1
Hadi dışarı çıkalım mı?,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Yeni filmi izledin mi Oppenheimer?,0
"Yatırım yap, günlük 2% kazanç garantisi!",1
sabah gibi kahve içmeye gidelim mi?,0
Sadece bugün: 30% indirim fırsatı burada!,1
Toplantı Salı günü saat 18:30'da olacak.,0
Özel teklif: internet paketi yalnızca 19.99 TL!,1
Hadi dışarı çıkalım mı?,0
"50 ücretsiz spin seni bekliyor, kaydol!",1
akşam gibi kahve içmeye gidelim mi?,0
Sadece bugün: 50% indirim fırsatı burada!,1
Seninle konuşmak çok iyi geldi.,0
"Kazanç fırsatını kaçırma, hemen başvur!",1
Toplantı Perşembe günü saat 18:30'da olacak.,0
Kazanın! 100 TL hediye için hemen tıkla!,1
akşam gibi kahve içmeye gidelim mi?,0
"Bedava tatil paketi kampanyası başladı, hemen katıl!",1
"Bugün çok yoruldum, sen nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
"Bugün çok yoruldum, sen nasılsın?",0
"50 ücretsiz spin seni bekliyor, kaydol!",1
Yeni filmi izledin mi Barbie?,0
"Yatırım yap, günlük 15% kazanç garantisi!",1
Tatilde İstanbul'e gitmeyi düşünüyorum.,0
Kazanın! 100 TL hediye için hemen tıkla!,1
öğlen gibi kahve içmeye gidelim mi?,0
GetRich indir ve para kazanmaya başla!,1
"Merhaba Elif, nasılsın?",0
"Kazanç fırsatını kaçırma, hemen başvur!",1
akşam gibi kahve içmeye gidelim mi?,0
Kredi kartına ön onay! Tıkla ve al!,1
Yarın Taksim'de buluşalım mı?,0
"Yatırım yap, günlük 5% kazanç garantisi!",1
Akşam yemeği için Pizza Locale'a gidelim mi?,0
